"item","simple_count","complex_count","equal_ok"
"Arrow",388,380,FALSE
"Bowl",404,364,FALSE
"Bowtie",383,385,FALSE
"Crinkle",390,378,FALSE
"Cylinder",388,380,FALSE
"Diamond",372,396,FALSE
"Gumdrop",390,378,FALSE
"Pacman",387,381,FALSE
"pair1_a",395,373,FALSE
"pair1_b",395,373,FALSE
"pair2_a",381,387,FALSE
"pair2_b",381,387,FALSE
"pair3_a",392,376,FALSE
"pair3_b",392,376,FALSE
"pair4_a",383,385,FALSE
"pair4_b",383,385,FALSE
"pair5_a",380,388,FALSE
"pair5_b",380,388,FALSE
"pair6_a",373,395,FALSE
"pair6_b",373,395,FALSE
"Pumpkin",383,385,FALSE
"Pyramid",369,399,FALSE
"SimsDiamond",384,384,TRUE
"Tripod",370,398,FALSE
